0,0,2A1C1
2100,0,2A1C2
4200,0,1A1C1_Array
6960,0,3A1C1_Array
9060,0,2A2C1
11160,0,2A2C3
-1520,2100,1A2C1
0,2100,1A1C1
2100,2100,1A1C2
4200,2100,1A1C3
6960,2100,3A1C1
9060,2100,3A1C2
11160,2100,3A1C3
12680,2100,3A1C4
-1520,4480,4A1C2
-1520,6475,4A1C1
-1520,8215,2A1C1_Array
-1520,9845,4A1C1_Array
-1520,11585,4A1C3
-1520,13580,4A1C4
12680,4480,5A1C1
12680,6475,5A1C2
12680,8215,3A1C2_Array
12680,9845,5A1C1_Array
12680,11585,5A1C4
12680,13580,5A1C3
-1520,15960,4A1C5
0,15960,4A3C2
2100,15960,4A3C3
4200,15960,4A4C2
6960,15960,5A3C2
9060,15960,5A3C3
11160,15960,5A4C2
12680,15960,5A2C2
0,18060,4A1C6
2100,18060,4A2C2
4200,18060,4A1C2_Array
6960,18060,5A1C2_Array
9060,18060,5A1C5
11160,18060,5A1C6
